"","age","status","Number","Simul","regID","regNV","startV","vPerD","vpd","vo","acceptV","effV","totalvac"
"328633",1,"allD",0,4,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328733",2,"allD",0,4,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328833",3,"allD",6,4,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328933",4,"allD",5,4,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329033",5,"allD",5,4,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329133",6,"allD",4,4,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329233",7,"allD",13,4,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328634",1,"allD",0,5,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328734",2,"allD",0,5,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328834",3,"allD",6,5,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328934",4,"allD",10,5,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329034",5,"allD",3,5,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329134",6,"allD",9,5,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329234",7,"allD",13,5,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328635",1,"allD",0,6,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328735",2,"allD",1,6,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328835",3,"allD",2,6,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328935",4,"allD",6,6,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329035",5,"allD",6,6,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329135",6,"allD",9,6,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329235",7,"allD",11,6,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328636",1,"allD",1,7,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328736",2,"allD",0,7,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328836",3,"allD",2,7,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328936",4,"allD",8,7,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329036",5,"allD",11,7,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329136",6,"allD",6,7,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329236",7,"allD",17,7,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328637",1,"allD",0,8,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328737",2,"allD",3,8,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328837",3,"allD",4,8,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328937",4,"allD",5,8,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329037",5,"allD",5,8,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329137",6,"allD",8,8,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329237",7,"allD",15,8,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328638",1,"allD",0,9,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328738",2,"allD",1,9,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328838",3,"allD",6,9,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"328938",4,"allD",8,9,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329038",5,"allD",3,9,"AM",167423,10,3400,10,1,0,0.9,5134839.2
"329138",6,"allD",11,9,"AM",167423,10,3400,10,1,0,0.9,5134839.2
