"","age","status","Number","Simul","regID","regNV","startV","vPerD","vpd","vo","acceptV","effV","totalvac"
"329124",6,"allD",13,1,"AL",86430,10,3084,6,3,0,0.9,2567419.6
"329224",7,"allD",20,1,"AL",86430,10,3084,6,3,0,0.9,2567419.6
"328625",1,"allD",0,1,"AL",86430,10,3084,6,3,0.7,0.9,2567419.6
"328725",2,"allD",0,1,"AL",86430,10,3084,6,3,0.7,0.9,2567419.6
"328825",3,"allD",2,1,"AL",86430,10,3084,6,3,0.7,0.9,2567419.6
"328925",4,"allD",12,1,"AL",86430,10,3084,6,3,0.7,0.9,2567419.6
"329025",5,"allD",11,1,"AL",86430,10,3084,6,3,0.7,0.9,2567419.6
"329125",6,"allD",7,1,"AL",86430,10,3084,6,3,0.7,0.9,2567419.6
"329225",7,"allD",0,1,"AL",86430,10,3084,6,3,0.7,0.9,2567419.6
"328626",1,"allD",0,1,"AL",74418,10,3084,6,4,0,0.9,2567419.6
"328726",2,"allD",0,1,"AL",74418,10,3084,6,4,0,0.9,2567419.6
"328826",3,"allD",4,1,"AL",74418,10,3084,6,4,0,0.9,2567419.6
"328926",4,"allD",8,1,"AL",74418,10,3084,6,4,0,0.9,2567419.6
"329026",5,"allD",13,1,"AL",74418,10,3084,6,4,0,0.9,2567419.6
"329126",6,"allD",13,1,"AL",74418,10,3084,6,4,0,0.9,2567419.6
"329226",7,"allD",20,1,"AL",74418,10,3084,6,4,0,0.9,2567419.6
"328627",1,"allD",0,1,"AL",74418,10,3084,6,4,0.7,0.9,2567419.6
"328727",2,"allD",1,1,"AL",74418,10,3084,6,4,0.7,0.9,2567419.6
"328827",3,"allD",0,1,"AL",74418,10,3084,6,4,0.7,0.9,2567419.6
"328927",4,"allD",13,1,"AL",74418,10,3084,6,4,0.7,0.9,2567419.6
"329027",5,"allD",10,1,"AL",74418,10,3084,6,4,0.7,0.9,2567419.6
"329127",6,"allD",13,1,"AL",74418,10,3084,6,4,0.7,0.9,2567419.6
"329227",7,"allD",0,1,"AL",74418,10,3084,6,4,0.7,0.9,2567419.6
"328628",1,"allD",0,1,"AL",116701,10,3084,6,5,0,0.9,2567419.6
"328728",2,"allD",0,1,"AL",116701,10,3084,6,5,0,0.9,2567419.6
"328828",3,"allD",4,1,"AL",116701,10,3084,6,5,0,0.9,2567419.6
"328928",4,"allD",8,1,"AL",116701,10,3084,6,5,0,0.9,2567419.6
"329028",5,"allD",13,1,"AL",116701,10,3084,6,5,0,0.9,2567419.6
"329128",6,"allD",13,1,"AL",116701,10,3084,6,5,0,0.9,2567419.6
"329228",7,"allD",20,1,"AL",116701,10,3084,6,5,0,0.9,2567419.6
"328629",1,"allD",0,1,"AL",116701,10,3084,6,5,0.7,0.9,2567419.6
"328729",2,"allD",0,1,"AL",116701,10,3084,6,5,0.7,0.9,2567419.6
"328829",3,"allD",5,1,"AL",116701,10,3084,6,5,0.7,0.9,2567419.6
"328929",4,"allD",10,1,"AL",116701,10,3084,6,5,0.7,0.9,2567419.6
"329029",5,"allD",9,1,"AL",116701,10,3084,6,5,0.7,0.9,2567419.6
"329129",6,"allD",2,1,"AL",116701,10,3084,6,5,0.7,0.9,2567419.6
"329229",7,"allD",0,1,"AL",116701,10,3084,6,5,0.7,0.9,2567419.6
"328630",1,"allD",0,1,"AL",124993,10,4112,8,1,0,0.9,2567419.6
"328730",2,"allD",0,1,"AL",124993,10,4112,8,1,0,0.9,2567419.6
"328830",3,"allD",4,1,"AL",124993,10,4112,8,1,0,0.9,2567419.6
"328930",4,"allD",8,1,"AL",124993,10,4112,8,1,0,0.9,2567419.6
"329030",5,"allD",13,1,"AL",124993,10,4112,8,1,0,0.9,2567419.6
"329130",6,"allD",13,1,"AL",124993,10,4112,8,1,0,0.9,2567419.6
"329230",7,"allD",20,1,"AL",124993,10,4112,8,1,0,0.9,2567419.6
"328631",1,"allD",0,1,"AL",124993,10,4112,8,1,0.7,0.9,2567419.6
"328731",2,"allD",1,1,"AL",124993,10,4112,8,1,0.7,0.9,2567419.6
"328831",3,"allD",7,1,"AL",124993,10,4112,8,1,0.7,0.9,2567419.6
"328931",4,"allD",13,1,"AL",124993,10,4112,8,1,0.7,0.9,2567419.6
"329031",5,"allD",16,1,"AL",124993,10,4112,8,1,0.7,0.9,2567419.6
"329131",6,"allD",3,1,"AL",124993,10,4112,8,1,0.7,0.9,2567419.6
"329231",7,"allD",1,1,"AL",124993,10,4112,8,1,0.7,0.9,2567419.6
"328632",1,"allD",0,1,"AL",127500,10,4112,8,2,0,0.9,2567419.6
"328732",2,"allD",0,1,"AL",127500,10,4112,8,2,0,0.9,2567419.6
"328832",3,"allD",4,1,"AL",127500,10,4112,8,2,0,0.9,2567419.6
"328932",4,"allD",8,1,"AL",127500,10,4112,8,2,0,0.9,2567419.6
"329032",5,"allD",13,1,"AL",127500,10,4112,8,2,0,0.9,2567419.6
"329132",6,"allD",13,1,"AL",127500,10,4112,8,2,0,0.9,2567419.6
"329232",7,"allD",20,1,"AL",127500,10,4112,8,2,0,0.9,2567419.6
"328633",1,"allD",0,1,"AL",127500,10,4112,8,2,0.7,0.9,2567419.6
"328733",2,"allD",1,1,"AL",127500,10,4112,8,2,0.7,0.9,2567419.6
"328833",3,"allD",2,1,"AL",127500,10,4112,8,2,0.7,0.9,2567419.6
"328933",4,"allD",10,1,"AL",127500,10,4112,8,2,0.7,0.9,2567419.6
"329033",5,"allD",5,1,"AL",127500,10,4112,8,2,0.7,0.9,2567419.6
"329133",6,"allD",3,1,"AL",127500,10,4112,8,2,0.7,0.9,2567419.6
"329233",7,"allD",1,1,"AL",127500,10,4112,8,2,0.7,0.9,2567419.6
"328634",1,"allD",0,1,"AL",86430,10,4112,8,3,0,0.9,2567419.6
"328734",2,"allD",0,1,"AL",86430,10,4112,8,3,0,0.9,2567419.6
"328834",3,"allD",4,1,"AL",86430,10,4112,8,3,0,0.9,2567419.6
"328934",4,"allD",8,1,"AL",86430,10,4112,8,3,0,0.9,2567419.6
"329034",5,"allD",13,1,"AL",86430,10,4112,8,3,0,0.9,2567419.6
"329134",6,"allD",13,1,"AL",86430,10,4112,8,3,0,0.9,2567419.6
"329234",7,"allD",20,1,"AL",86430,10,4112,8,3,0,0.9,2567419.6
"328635",1,"allD",0,1,"AL",86430,10,4112,8,3,0.7,0.9,2567419.6
"328735",2,"allD",2,1,"AL",86430,10,4112,8,3,0.7,0.9,2567419.6
"328835",3,"allD",5,1,"AL",86430,10,4112,8,3,0.7,0.9,2567419.6
"328935",4,"allD",4,1,"AL",86430,10,4112,8,3,0.7,0.9,2567419.6
"329035",5,"allD",9,1,"AL",86430,10,4112,8,3,0.7,0.9,2567419.6
"329135",6,"allD",10,1,"AL",86430,10,4112,8,3,0.7,0.9,2567419.6
"329235",7,"allD",1,1,"AL",86430,10,4112,8,3,0.7,0.9,2567419.6
"328636",1,"allD",0,1,"AL",74418,10,4112,8,4,0,0.9,2567419.6
"328736",2,"allD",0,1,"AL",74418,10,4112,8,4,0,0.9,2567419.6
"328836",3,"allD",4,1,"AL",74418,10,4112,8,4,0,0.9,2567419.6
"328936",4,"allD",8,1,"AL",74418,10,4112,8,4,0,0.9,2567419.6
"329036",5,"allD",13,1,"AL",74418,10,4112,8,4,0,0.9,2567419.6
"329136",6,"allD",13,1,"AL",74418,10,4112,8,4,0,0.9,2567419.6
"329236",7,"allD",20,1,"AL",74418,10,4112,8,4,0,0.9,2567419.6
"328637",1,"allD",0,1,"AL",74418,10,4112,8,4,0.7,0.9,2567419.6
"328737",2,"allD",0,1,"AL",74418,10,4112,8,4,0.7,0.9,2567419.6
"328837",3,"allD",11,1,"AL",74418,10,4112,8,4,0.7,0.9,2567419.6
"328937",4,"allD",4,1,"AL",74418,10,4112,8,4,0.7,0.9,2567419.6
"329037",5,"allD",13,1,"AL",74418,10,4112,8,4,0.7,0.9,2567419.6
"329137",6,"allD",8,1,"AL",74418,10,4112,8,4,0.7,0.9,2567419.6
"329237",7,"allD",1,1,"AL",74418,10,4112,8,4,0.7,0.9,2567419.6
"328638",1,"allD",0,1,"AL",116701,10,4112,8,5,0,0.9,2567419.6
"328738",2,"allD",0,1,"AL",116701,10,4112,8,5,0,0.9,2567419.6
"328838",3,"allD",4,1,"AL",116701,10,4112,8,5,0,0.9,2567419.6
"328938",4,"allD",8,1,"AL",116701,10,4112,8,5,0,0.9,2567419.6
"329038",5,"allD",13,1,"AL",116701,10,4112,8,5,0,0.9,2567419.6
"329138",6,"allD",13,1,"AL",116701,10,4112,8,5,0,0.9,2567419.6
"329238",7,"allD",20,1,"AL",116701,10,4112,8,5,0,0.9,2567419.6
"328639",1,"allD",0,1,"AL",116701,10,4112,8,5,0.7,0.9,2567419.6
"328739",2,"allD",0,1,"AL",116701,10,4112,8,5,0.7,0.9,2567419.6
"328839",3,"allD",5,1,"AL",116701,10,4112,8,5,0.7,0.9,2567419.6
"328939",4,"allD",12,1,"AL",116701,10,4112,8,5,0.7,0.9,2567419.6
"329039",5,"allD",11,1,"AL",116701,10,4112,8,5,0.7,0.9,2567419.6
"329139",6,"allD",3,1,"AL",116701,10,4112,8,5,0.7,0.9,2567419.6
"329239",7,"allD",1,1,"AL",116701,10,4112,8,5,0.7,0.9,2567419.6
"328640",1,"allD",0,1,"AL",124993,10,5140,10,1,0,0.9,2567419.6
"328740",2,"allD",0,1,"AL",124993,10,5140,10,1,0,0.9,2567419.6
"328840",3,"allD",4,1,"AL",124993,10,5140,10,1,0,0.9,2567419.6
"328940",4,"allD",8,1,"AL",124993,10,5140,10,1,0,0.9,2567419.6
"329040",5,"allD",13,1,"AL",124993,10,5140,10,1,0,0.9,2567419.6
"329140",6,"allD",13,1,"AL",124993,10,5140,10,1,0,0.9,2567419.6
"329240",7,"allD",20,1,"AL",124993,10,5140,10,1,0,0.9,2567419.6
"328641",1,"allD",0,1,"AL",124993,10,5140,10,1,0.7,0.9,2567419.6
"328741",2,"allD",1,1,"AL",124993,10,5140,10,1,0.7,0.9,2567419.6
"328841",3,"allD",3,1,"AL",124993,10,5140,10,1,0.7,0.9,2567419.6
"328941",4,"allD",10,1,"AL",124993,10,5140,10,1,0.7,0.9,2567419.6
"329041",5,"allD",9,1,"AL",124993,10,5140,10,1,0.7,0.9,2567419.6
"329141",6,"allD",0,1,"AL",124993,10,5140,10,1,0.7,0.9,2567419.6
"329241",7,"allD",0,1,"AL",124993,10,5140,10,1,0.7,0.9,2567419.6
"328642",1,"allD",0,1,"AL",127500,10,5140,10,2,0,0.9,2567419.6
"328742",2,"allD",0,1,"AL",127500,10,5140,10,2,0,0.9,2567419.6
